Pregunta,Habilidad,Eje de contenido,Respuesta correcta
1,Localizar información explícita,Comprensión de lectura,B
2,Interpretar y relacionar,Comprensión de lectura,A
3,Reflexionar sobre el texto,Comprensión de lectura,D
4,Localizar información explícita,Comprensión de lectura,C
5,Interpretar y relacionar,Comprensión de lectura,B
6,Reflexionar sobre el texto,Escritura,A
7,Localizar información explícita,Comprensión de lectura,D
8,Interpretar y relacionar,Comprensión de lectura,C
9,Reflexionar sobre el texto,Escritura,B
10,Localizar información explícita,Comprensión de lectura,A
11,Interpretar y relacionar,Comprensión de lectura,D
12,Reflexionar sobre el texto,Escritura,C
13,Localizar información explícita,Comprensión de lectura,B
14,Interpretar y relacionar,Comprensión de lectura,A
15,Reflexionar sobre el texto,Escritura,D
16,Localizar información explícita,Comprensión de lectura,C
17,Interpretar y relacionar,Comprensión de lectura,B
18,Reflexionar sobre el texto,Escritura,A
19,Localizar información explícita,Comprensión de lectura,D
20,Interpretar y relacionar,Comprensión de lectura,C
